"p           ","t           ","phi         ","h           ","cp          ","M           ","CH4         ","O2          ","N2          ","H2O         ","CO2         ","CO          ","OH          ","H2          ","NO          ","NO2         "
   1.00000E+00,   2.65463E+03,   4.00000E-01,   2.09719E+03,   2.60232E+00,   0.00000E+00,   2.07222E-18,   1.08132E-01,   7.37265E-01,   4.38943E-02,   4.33172E-02,   1.04689E-02,   1.40372E-02,   1.60538E-03,   2.06114E-02,   1.13980E-05
   1.00000E+01,   2.74851E+03,   4.00000E-01,   2.09719E+03,   2.04939E+00,   0.00000E+00,   9.76248E-18,   1.07764E-01,   7.41191E-01,   4.74901E-02,   4.85064E-02,   5.67652E-03,   1.05086E-02,   8.12411E-04,   2.37561E-02,   3.81622E-05
   4.00000E+01,   2.78737E+03,   4.00000E-01,   2.09719E+03,   1.83721E+00,   0.00000E+00,   1.82293E-17,   1.07571E-01,   7.42776E-01,   4.92233E-02,   5.08295E-02,   3.51833E-03,   8.33673E-03,   4.91415E-04,   2.51182E-02,   7.80367E-05
   1.00000E+00,   2.80889E+03,   6.00000E-01,   2.16812E+03,   3.55987E+00,   0.00000E+00,   7.28873E-17,   7.25012E-02,   7.13311E-01,   5.88271E-02,   4.92233E-02,   2.87345E-02,   2.18945E-02,   4.91732E-03,   2.08257E-02,   8.25146E-06
   1.00000E+01,   2.96411E+03,   6.00000E-01,   2.16812E+03,   2.74975E+00,   0.00000E+00,   7.33738E-16,   6.95998E-02,   7.20120E-01,   6.51048E-02,   5.85611E-02,   2.03640E-02,   1.83448E-02,   3.08997E-03,   2.51425E-02,   2.73966E-05
   4.00000E+01,   3.04318E+03,   6.00000E-01,   2.16812E+03,   2.38505E+00,   0.00000E+00,   2.25370E-15,   6.77051E-02,   7.23597E-01,   6.84682E-02,   6.43079E-02,   1.51130E-02,   1.56323E-02,   2.14858E-03,   2.73574E-02,   5.56213E-05
   1.00000E+00,   2.90462E+03,   8.00000E-01,   2.23723E+03,   4.34213E+00,   0.00000E+00,   7.84964E-16,   4.67630E-02,   6.89144E-01,   7.01316E-02,   4.84368E-02,   5.17878E-02,   2.68437E-02,   1.04155E-02,   1.86931E-02,   5.51756E-06
   1.00000E+01,   3.10044E+03,   8.00000E-01,   2.23723E+03,   3.37956E+00,   0.00000E+00,   1.29815E-14,   4.22650E-02,   6.98120E-01,   7.91406E-02,   5.89885E-02,   4.28115E-02,   2.37361E-02,   7.55605E-03,   2.26864E-02,   1.75359E-05
   4.00000E+01,   3.21018E+03,   8.00000E-01,   2.23723E+03,   2.94317E+00,   0.00000E+00,   5.85021E-14,   3.90876E-02,   7.03291E-01,   8.42842E-02,   6.66277E-02,   3.60602E-02,   2.09841E-02,   5.84399E-03,   2.46975E-02,   3.42608E-05
   1.00000E+00,   2.96598E+03,   1.00000E+00,   2.30460E+03,   4.87933E+00,   0.00000E+00,   4.79005E-15,   2.87021E-02,   6.65498E-01,   7.80426E-02,   4.43000E-02,   7.63896E-02,   2.87389E-02,   1.83576E-02,   1.55575E-02,   3.43791E-06
   1.00000E+01,   3.18619E+03,   1.00000E+00,   2.30460E+03,   3.78242E+00,   0.00000E+00,   1.13603E-13,   2.38121E-02,   6.75940E-01,   8.95671E-02,   5.37627E-02,   6.90560E-02,   2.58386E-02,   1.48211E-02,   1.84207E-02,   1.01200E-05
   4.00000E+01,   3.31363E+03,   1.00000E+00,   2.30460E+03,   3.29394E+00,   0.00000E+00,   6.84128E-13,   2.03979E-02,   6.82273E-01,   9.64804E-02,   6.11351E-02,   6.29192E-02,   2.29891E-02,   1.24350E-02,   1.95375E-02,   1.84274E-05
   1.00000E+00,   3.00320E+03,   1.20000E+00,   2.37027E+03,   5.14618E+00,   0.00000E+00,   2.14080E-14,   1.65259E-02,   6.42575E-01,   8.25860E-02,   3.86743E-02,   1.00802E-01,   2.79039E-02,   2.90571E-02,   1.21422E-02,   1.98265E-06
   1.00000E+01,   3.23520E+03,   1.20000E+00,   2.37027E+03,   3.90906E+00,   0.00000E+00,   6.83568E-13,   1.21797E-02,   6.53815E-01,   9.59257E-02,   4.58552E-02,   9.61999E-02,   2.47711E-02,   2.56354E-02,   1.36464E-02,   5.20466E-06
   4.00000E+01,   3.36886E+03,   1.20000E+00,   2.37027E+03,   3.34635E+00,   0.00000E+00,   5.25597E-12,   9.35178E-03,   6.60684E-01,   1.04191E-01,   5.15212E-02,   9.20195E-02,   2.16109E-02,   2.30418E-02,   1.37384E-02,   8.50890E-06
   1.00000E+00,   3.02078E+03,   1.40000E+00,   2.43432E+03,   5.12960E+00,   0.00000E+00,   7.95314E-14,   8.78622E-03,   6.20388E-01,   8.37182E-02,   3.25842E-02,   1.24121E-01,   2.48996E-02,   4.28409E-02,   8.88559E-03,   1.04500E-06
   1.00000E+01,   3.25337E+03,   1.40000E+00,   2.43432E+03,   3.76968E+00,   0.00000E+00,   3.29143E-12,   5.54856E-03,   6.31733E-01,   9.76306E-02,   3.72138E-02,   1.22379E-01,   2.12213E-02,   4.07330E-02,   9.22582E-03,   2.34948E-06
   4.00000E+01,   3.38298E+03,   1.40000E+00,   2.43432E+03,   3.13890E+00,   0.00000E+00,   3.13570E-11,   3.69380E-03,   6.38465E-01,   1.06247E-01,   4.07176E-02,   1.20483E-01,   1.77157E-02,   3.88178E-02,   8.60308E-03,   3.32320E-06
   1.00000E+00,   3.02101E+03,   1.60000E+00,   2.49681E+03,   4.86708E+00,   0.00000E+00,   2.63523E-13,   4.24558E-03,   5.98900E-01,   8.13945E-02,   2.66011E-02,   1.45893E-01,   2.04798E-02,   5.99658E-02,   6.07044E-03,   4.96188E-07
   1.00000E+01,   3.24441E+03,   1.60000E+00,   2.49681E+03,   3.45985E+00,   0.00000E+00,   1.35839E-11,   2.23560E-03,   6.09704E-01,   9.43496E-02,   2.90666E-02,   1.46469E-01,   1.63526E-02,   6.04385E-02,   5.70012E-03,   9.26314E-07
   4.00000E+01,   3.36227E+03,   1.60000E+00,   2.49681E+03,   2.82703E+00,   0.00000E+00,   1.53707E-10,   1.27170E-03,   6.15744E-01,   1.02044E-01,   3.07945E-02,   1.46347E-01,   1.28436E-02,   6.01270E-02,   4.85996E-03,   1.11398E-06
   1.00000E+00,   3.00578E+03,   1.80000E+00,   2.55779E+03,   4.46754E+00,   0.00000E+00,   8.11117E-13,   1.84071E-03,   5.78101E-01,   7.56681E-02,   2.10463E-02,   1.65917E-01,   1.55153E-02,   8.04670E-02,   3.85571E-03,   2.09737E-07
   1.00000E+01,   3.21328E+03,   1.80000E+00,   2.55779E+03,   3.12462E+00,   0.00000E+00,   4.94736E-11,   8.04588E-04,   5.87916E-01,   8.63988E-02,   2.20476E-02,   1.67980E-01,   1.14464E-02,   8.42722E-02,   3.25036E-03,   3.22848E-07
   4.00000E+01,   3.31620E+03,   1.80000E+00,   2.55779E+03,   2.55769E+00,   0.00000E+00,   6.29082E-10,   3.97064E-04,   5.93024E-01,   9.23401E-02,   2.27143E-02,   1.68840E-01,   8.43850E-03,   8.59101E-02,   2.54784E-03,   3.34790E-07
